time,steering_error,distance,command,both_detected,robot_x,robot_y,pid_p,pid_i,pid_d,kp,ki,kd
0.029424428939819336,177.06807841614858,950.2320769159501,MOTOR 1350 1650,True,197,360,141.654,0.056,561.386,0.8,0.01,0.05
0.06424140930175781,-178.68845380155383,949.2323214050394,MOTOR 1650 1350,True,197,360,-142.951,-0.006,-512.246,0.8,0.01,0.05
0.09966874122619629,-178.47031512639816,949.2107247603137,MOTOR 1650 1350,True,198,359,-142.776,-0.069,0.307,0.8,0.01,0.05
0.12713336944580078,-177.9560027947015,952.2777956037828,MOTOR 1650 1350,True,195,362,-142.365,-0.118,0.935,0.8,0.01,0.05
0.16235780715942383,-176.08399337445155,955.3271690892079,MOTOR 1650 1350,True,192,364,-140.867,-0.18,2.668,0.8,0.01,0.05
0.19260883331298828,-172.73371265446238,958.3527534264197,MOTOR 1650 1350,True,189,365,-138.187,-0.232,5.518,0.8,0.01,0.05
0.22501802444458008,-167.16998917377492,962.4370109259099,MOTOR 1650 1350,True,185,368,-133.736,-0.286,8.598,0.8,0.01,0.05
0.255828857421875,-160.9829986569772,967.5975403027852,MOTOR 1650 1350,True,180,373,-128.786,-0.336,10.017,0.8,0.01,0.05
0.2847249507904053,-154.70412307119938,971.8235436538878,MOTOR 1650 1350,True,176,379,-123.763,-0.381,10.858,0.8,0.01,0.05
0.31412434577941895,-147.14397132285828,975.0856372647481,MOTOR 1650 1350,True,173,385,-117.715,-0.424,12.83,0.8,0.01,0.05
0.3612947463989258,-139.64950380801653,978.4365079043198,MOTOR 1650 1350,True,170,392,-111.72,-0.49,7.948,0.8,0.01,0.05
0.3926217555999756,,,MOTOR 1650 1350,False,,,,,,0.8,0.01,0.05
0.4271242618560791,-122.63114965132418,979.4335097391757,MOTOR 1650 1365,True,170,408,-98.105,-0.5,12.923,0.8,0.01,0.05
0.4597804546356201,-113.7088051632538,980.0295913899743,MOTOR 1650 1391,True,170,416,-90.967,-0.5,13.672,0.8,0.01,0.05
