time,steering_error,distance,command,both_detected,robot_x,robot_y,pid_p,pid_i,pid_d,kp,ki,kd
0.0266573429107666,-178.57417462124494,949.2549710167443,MOTOR 1650 1350,True,197,362,-142.859,-0.106,-0.645,0.8,0.01,0.05
0.06114935874938965,-177.8026059048784,949.3292368825475,MOTOR 1650 1350,True,197,365,-142.242,-0.168,1.118,0.8,0.01,0.05
0.09279584884643555,-173.91318694961095,952.3549758362162,MOTOR 1650 1350,True,195,366,-139.131,-0.223,6.154,0.8,0.01,0.05
0.12458181381225586,-167.48957982362077,955.4710879979572,MOTOR 1650 1350,True,191,370,-133.992,-0.276,10.112,0.8,0.01,0.05
0.15554547309875488,-159.48648675119864,961.6740612078502,MOTOR 1650 1350,True,185,376,-127.589,-0.325,12.905,0.8,0.01,0.05
0.18761634826660156,-152.27419698567073,965.9135572089255,MOTOR 1650 1350,True,181,382,-121.819,-0.374,11.238,0.8,0.01,0.05
0.23617029190063477,-144.04376502345383,968.3439471592725,MOTOR 1650 1350,True,179,390,-115.235,-0.444,8.482,0.8,0.01,0.05
0.2667961120605469,,,MOTOR 1650 1350,False,,,,,,0.8,0.01,0.05
0.29906749725341797,,,MOTOR 1650 1350,False,,,,,,0.8,0.01,0.05
0.33556127548217773,-122.97288506515902,977.7290013086448,MOTOR 1650 1356,True,171,413,-98.378,-0.5,10.615,0.8,0.01,0.05
0.36438870429992676,-115.41595266876601,976.365710172167,MOTOR 1650 1385,True,173,421,-92.333,-0.5,13.076,0.8,0.01,0.05
0.3978095054626465,-109.67508471262359,977.9672796162456,MOTOR 1650 1385,True,172,428,-87.74,-0.5,8.591,0.8,0.01,0.05
0.4277660846710205,-102.03690758345934,975.7340826270239,MOTOR 1650 1419,True,175,436,-81.63,-0.5,12.7,0.8,0.01,0.05
0.45977330207824707,-93.27731459078312,973.67807821682,MOTOR 1650 1446,True,178,445,-74.622,-0.5,13.69,0.8,0.01,0.05
0.4971303939819336,-85.43672900344092,970.7172605862121,MOTOR 1650 1456,True,182,454,-68.349,-0.5,10.527,0.8,0.01,0.05
0.5270602703094482,,,MOTOR 1650 1456,False,,,,,,0.8,0.01,0.05
0.5547287464141846,,,MOTOR 1650 1456,False,,,,,,0.8,0.01,0.05
0.6062681674957275,-62.534730234689825,953.746297502643,MOTOR 1650 1517,True,202,476,-50.028,-0.5,10.485,0.8,0.01,0.05
0.6355786323547363,,,MOTOR 1650 1517,False,,,,,,0.8,0.01,0.05
0.6690781116485596,,,MOTOR 1650 1517,False,,,,,,0.8,0.01,0.05
0.6986162662506104,,,MOTOR 1650 1517,False,,,,,,0.8,0.01,0.05
0.7305808067321777,,,MOTOR 1650 1517,False,,,,,,0.8,0.01,0.05
0.7677168846130371,-39.0067156137737,912.4346551945514,MOTOR 1650 1569,True,247,496,-31.205,-0.5,7.287,0.8,0.01,0.05
0.8001694679260254,-26.60916925117476,905.0756874427685,MOTOR 1650 1642,True,255,499,-21.287,-0.5,19.095,0.8,0.01,0.05
0.826939582824707,-33.286440208521626,892.1031330513306,MOTOR 1650 1519,True,268,498,-26.629,-0.5,-12.452,0.8,0.01,0.05
0.8600893020629883,-17.056641896604198,878.5083949513516,MOTOR 1616 1650,True,282,499,-13.645,-0.5,24.495,0.8,0.01,0.05
0.8932297229766846,-13.61366216854629,864.9277426467485,MOTOR 1650 1630,True,296,500,-10.891,-0.5,5.197,0.8,0.01,0.05
0.9425828456878662,-11.183189874849509,853.1377380001426,MOTOR 1650 1627,True,308,500,-8.947,-0.5,2.462,0.8,0.01,0.05
0.9733524322509766,-7.781539940347686,837.2365257201814,MOTOR 1650 1646,True,324,499,-6.225,-0.5,5.522,0.8,0.01,0.05
1.005692720413208,-9.698982775499918,821.9397788159422,MOTOR 1650 1613,True,339,496,-7.759,-0.5,-2.967,0.8,0.01,0.05
1.0360937118530273,,,MOTOR 1650 1613,False,,,,,,0.8,0.01,0.05
1.071401596069336,-7.095781831197688,789.7626225645273,MOTOR 1650 1637,True,372,497,-5.677,-0.5,1.981,0.8,0.01,0.05
1.1033155918121338,-2.0923525328828125,770.932552173016,MOTOR 1632 1650,True,390,491,-1.674,-0.5,7.842,0.8,0.01,0.05
1.1335749626159668,-2.735553611309664,756.2274790035073,MOTOR 1650 1638,True,404,486,-2.188,-0.5,-1.065,0.8,0.01,0.05
1.167999029159546,4.990319485607836,747.010709427917,MOTOR 1601 1650,True,413,484,3.992,-0.498,11.206,0.8,0.01,0.05
1.1996252536773682,9.75545313312984,730.953486892292,MOTOR 1601 1650,True,428,477,7.804,-0.495,7.564,0.8,0.01,0.05
1.2315330505371094,13.410452284753953,720.1999722299356,MOTOR 1597 1650,True,438,472,10.728,-0.491,5.737,0.8,0.01,0.05
1.278559923171997,18.596804006155796,704.9907800815554,MOTOR 1584 1650,True,452,464,14.877,-0.482,5.499,0.8,0.01,0.05
1.3086419105529785,17.830359973990042,689.8231657461207,MOTOR 1609 1650,True,466,456,14.264,-0.477,-1.27,0.8,0.01,0.05
1.3390028476715088,17.236371832634152,676.1730547722233,MOTOR 1609 1650,True,479,451,13.789,-0.472,-0.978,0.8,0.01,0.05
1.3714911937713623,15.022741232425426,661.3879345739533,MOTOR 1623 1650,True,493,445,12.018,-0.467,-3.405,0.8,0.01,0.05
1.4033918380737305,10.400611268605108,645.7894393685917,MOTOR 1648 1650,True,508,440,8.32,-0.463,-7.252,0.8,0.01,0.05
1.435182809829712,,,MOTOR 1648 1650,False,,,,,,0.8,0.01,0.05
1.467543363571167,,,MOTOR 1648 1650,False,,,,,,0.8,0.01,0.05
1.5015497207641602,,,MOTOR 1648 1650,False,,,,,,0.8,0.01,0.05
1.5342633724212646,8.09475381100307,581.8075283115543,MOTOR 1633 1650,True,570,422,6.476,-0.453,-0.881,0.8,0.01,0.05
1.5665786266326904,12.499587781511375,565.9911660087992,MOTOR 1596 1650,True,585,415,10.0,-0.449,6.823,0.8,0.01,0.05
1.5993647575378418,15.066704003413243,550.2181385596081,MOTOR 1599 1650,True,600,408,12.053,-0.444,3.907,0.8,0.01,0.05
1.646486520767212,18.294020720084244,537.4727900089455,MOTOR 1592 1650,True,612,401,14.635,-0.435,3.434,0.8,0.01,0.05
1.680485725402832,,,MOTOR 1592 1650,False,,,,,,0.8,0.01,0.05
1.7114267349243164,24.324715377859114,506.8273867896249,MOTOR 1572 1650,True,641,383,19.46,-0.419,4.635,0.8,0.01,0.05
1.7511107921600342,23.885674160593236,495.4593827954013,MOTOR 1590 1650,True,652,378,19.109,-0.41,-0.554,0.8,0.01,0.05
1.774381399154663,,,MOTOR 1590 1650,False,,,,,,0.8,0.01,0.05
1.8076770305633545,,,MOTOR 1590 1650,False,,,,,,0.8,0.01,0.05
1.8371481895446777,,,MOTOR 1590 1650,False,,,,,,0.8,0.01,0.05
1.8709349632263184,,,MOTOR 1590 1650,False,,,,,,0.8,0.01,0.05
1.9030861854553223,14.188404960751203,422.23216362565273,MOTOR 1625 1650,True,724,354,11.351,-0.388,-3.19,0.8,0.01,0.05
1.9353868961334229,12.596922356851032,409.14789502085915,MOTOR 1626 1650,True,737,351,10.078,-0.384,-2.462,0.8,0.01,0.05
1.986541509628296,14.533014685422735,395.0455669919611,MOTOR 1607 1650,True,751,346,11.626,-0.377,1.894,0.8,0.01,0.05
2.0202553272247314,14.660499236847427,385.0116881342695,MOTOR 1612 1650,True,761,343,11.728,-0.372,0.189,0.8,0.01,0.05
2.052600383758545,20.119033911672503,372.01209657751724,MOTOR 1570 1650,True,774,337,16.095,-0.365,8.476,0.8,0.01,0.05
2.085758686065674,21.272210468504774,359.05013577493605,MOTOR 1589 1650,True,787,334,17.018,-0.358,1.731,0.8,0.01,0.05
2.112473487854004,21.282890247929558,344.2455518957362,MOTOR 1595 1650,True,802,327,17.026,-0.353,0.02,0.8,0.01,0.05
