time,steering_error,distance,command,both_detected,robot_x,robot_y
0.04490780830383301,-178.26663899015213,960.2754813073174,MOTOR 1650 1350,True,188,361
0.0782928466796875,-177.61346456248546,961.3792175827393,MOTOR 1650 1350,True,187,365
0.10935592651367188,-173.96218338516485,963.4069752705759,MOTOR 1650 1350,True,186,365
0.1393589973449707,-166.52396430035748,969.5282357930582,MOTOR 1650 1350,True,181,370
0.17499732971191406,-156.87144718531624,972.8226971036397,MOTOR 1650 1350,True,177,378
0.20423483848571777,-150.97819012048993,977.9902862503287,MOTOR 1650 1350,True,172,382
0.2358250617980957,,,MOTOR 1650 1350,False,,
0.27034902572631836,-134.46164615219797,983.7708066414657,MOTOR 1650 1350,True,167,397
0.3002588748931885,-128.7387115725612,984.0188006334025,MOTOR 1650 1350,True,167,401
0.3347506523132324,-120.86459236727912,983.5659611840987,MOTOR 1650 1350,True,168,409
0.37900304794311523,-113.61544612392333,984.0172762711029,MOTOR 1650 1350,True,169,415
0.41232872009277344,-105.6249998277989,982.6830618261414,MOTOR 1650 1350,True,171,422
0.443514347076416,-98.67471022478654,981.2288214274996,MOTOR 1650 1350,True,173,428
0.47637486457824707,-90.217418927083,976.0338108897663,MOTOR 1650 1350,True,180,436
0.5099999904632568,-80.64923094660813,971.689765305779,MOTOR 1650 1382,True,185,442
0.5403580665588379,-73.36766778587383,968.4978058829045,MOTOR 1650 1406,True,189,449
0.5721497535705566,,,MOTOR 1650 1406,False,,
0.60550856590271,,,MOTOR 1650 1406,False,,
0.6364295482635498,,,MOTOR 1650 1406,False,,
0.6674098968505859,,,MOTOR 1650 1406,False,,
0.6997604370117188,,,MOTOR 1650 1406,False,,
0.7472548484802246,,,MOTOR 1650 1406,False,,
0.7789461612701416,-40.95143187698989,917.1395749830011,MOTOR 1650 1514,True,245,472
0.811774492263794,,,MOTOR 1650 1514,False,,
0.8475692272186279,-14.0807279465882,896.9158265968998,MOTOR 1650 1604,True,264,470
0.8798255920410156,-8.18934608629202,888.7080510493871,MOTOR 1650 1623,True,273,468
0.9089159965515137,,,MOTOR 1650 1623,False,,
0.9416549205780029,4.693727924326051,864.650218296393,MOTOR 1635 1650,True,295,460
0.9746685028076172,11.3504991517896,851.2185383319609,MOTOR 1613 1650,True,308,455
0.9919865131378174,11.3504991517896,851.2185383319609,MOTOR 1613 1650,True,308,455
1.4041049480438232,,,STOP,False,,
1.4186623096466064,,,STOP,False,,
1.4339649677276611,6.0566743026606,724.2444338757462,MOTOR 1630 1650,True,433,424
1.4501430988311768,,,MOTOR 1630 1650,False,,
1.4649627208709717,,,MOTOR 1630 1650,False,,
1.4784953594207764,,,MOTOR 1630 1650,False,,
1.4912607669830322,,,MOTOR 1630 1650,False,,
1.5027062892913818,,,MOTOR 1630 1650,False,,
1.5153083801269531,-5.02544408585039,597.3315662176242,MOTOR 1650 1634,True,558,400
1.5455560684204102,-3.70567655372055,591.2596722253261,MOTOR 1650 1638,True,564,399
1.582237720489502,-1.6483655038232168,582.6371083273018,MOTOR 1650 1645,True,573,401
1.6166346073150635,-0.22921368390663627,569.3856338194704,MOTOR 1650 1650,True,586,399
1.6469576358795166,1.251732716338166,557.3481856075249,MOTOR 1646 1650,True,598,397
1.676084041595459,4.967748048421398,538.7132818113918,MOTOR 1634 1650,True,616,390
1.6910486221313477,4.967748048421398,538.7132818113918,MOTOR 1634 1650,True,616,390
1.7062041759490967,,,MOTOR 1634 1650,False,,
1.744560718536377,,,MOTOR 1634 1650,False,,
1.7859878540039062,,,MOTOR 1634 1650,False,,
1.8163585662841797,,,MOTOR 1634 1650,False,,
1.8809828758239746,,,MOTOR 1634 1650,False,,
1.9136476516723633,,,MOTOR 1634 1650,False,,
1.945692539215088,,,MOTOR 1634 1650,False,,
1.9764139652252197,,,MOTOR 1634 1650,False,,
2.010004997253418,11.04530115453592,365.23143347745963,MOTOR 1614 1650,True,787,350
2.0248630046844482,11.04530115453592,365.23143347745963,MOTOR 1614 1650,True,787,350
2.040444850921631,,,MOTOR 1614 1650,False,,
2.071614980697632,,,MOTOR 1614 1650,False,,
2.1210269927978516,,,MOTOR 1614 1650,False,,
2.1536669731140137,,,MOTOR 1614 1650,False,,
2.1828744411468506,,,MOTOR 1614 1650,False,,
2.2482714653015137,,,MOTOR 1614 1650,False,,
2.2816171646118164,,,MOTOR 1614 1650,False,,
2.3112099170684814,,,MOTOR 1614 1650,False,,
2.34407114982605,,,STOP,False,,
2.3780293464660645,,,STOP,False,,
2.3908989429473877,,,STOP,False,,
2.4109885692596436,,,STOP,False,,
2.4576938152313232,10.620695516110212,162.1172415260018,FORWARD,True,990,318
