time,steering_error,distance,command,both_detected,robot_x,robot_y
0.030782461166381836,89.27763019806432,954.6418176468072,MOTOR 1353 1650,True,193,372
0.059381723403930664,89.6057464199984,953.6424906640852,MOTOR 1352 1650,True,193,372
0.09395027160644531,88.38426515456777,954.6418176468072,MOTOR 1356 1650,True,193,372
0.12897610664367676,83.42309590230957,953.53709943557,MOTOR 1372 1650,True,195,369
0.15911006927490234,77.46380493431796,949.4740649433243,MOTOR 1392 1650,True,198,367
0.1895606517791748,72.14639884378654,945.4448688315993,MOTOR 1410 1650,True,201,366
0.2195732593536377,68.28355498734278,944.4453398688565,MOTOR 1423 1650,True,203,366
0.2533595561981201,65.29206675897107,944.4151629447719,MOTOR 1433 1650,True,204,365
0.2848930358886719,63.52313398419533,941.3872741863468,MOTOR 1439 1650,True,207,364
0.33437681198120117,61.85084985402849,939.3598884346723,MOTOR 1444 1650,True,208,363
0.36539745330810547,60.60054132923786,940.2813408762295,MOTOR 1448 1650,True,208,360
0.3994572162628174,58.75663498518265,936.2585113097771,MOTOR 1455 1650,True,212,359
0.4303476810455322,57.09510066439088,933.2363044802747,MOTOR 1460 1650,True,214,358
0.4611213207244873,56.10551194730216,934.1932348288549,MOTOR 1463 1650,True,213,356
0.49268174171447754,53.52754950758134,930.1741772377902,MOTOR 1472 1650,True,218,355
0.5259401798248291,51.651361080653125,928.1556981455212,MOTOR 1478 1650,True,220,354
0.5568954944610596,50.062786041750876,925.1383680293451,MOTOR 1484 1650,True,222,353
0.5878524780273438,48.39271997427332,924.1217452262446,MOTOR 1489 1650,True,223,352
0.6213316917419434,46.613343793900306,923.1061694084814,MOTOR 1495 1650,True,225,351
0.6681745052337646,44.39708919468137,921.0917435304694,MOTOR 1503 1650,True,227,350
0.7006685733795166,42.30419290834764,917.0785135417796,MOTOR 1509 1650,True,230,349
0.7346417903900146,38.15815876811407,913.0443581776299,MOTOR 1523 1650,True,234,346
0.7695925235748291,32.92747405320463,909.0269522956951,MOTOR 1541 1650,True,239,344
0.7998652458190918,29.968495437870622,899.0088987323763,MOTOR 1551 1650,True,249,341
0.8299620151519775,27.315327507513427,891.0022446660839,MOTOR 1559 1650,True,256,339
0.8684203624725342,22.955452205426177,882.0005668932419,MOTOR 1574 1650,True,265,337
0.8965928554534912,23.728421189575883,870.0022988475375,MOTOR 1571 1650,True,278,335
0.9333951473236084,18.791431009888406,858.0052447392148,MOTOR 1588 1650,True,290,334
0.9631035327911377,9.436216974568312,845.0053254270058,MOTOR 1619 1650,True,302,334
