time,steering_error,distance,command,both_detected,robot_x,robot_y
0.022829055786132812,-2.513115295193919,955.0130889155395,FORWARD,True,162,372
0.050728559494018555,-2.3846856587503593,955.0130889155395,FORWARD,True,162,372
0.07654523849487305,-2.5094216124309914,955.0130889155395,FORWARD,True,162,372
0.10422992706298828,-1.7097316062809977,953.0188875358137,FORWARD,True,164,371
0.1268939971923828,-2.596996904514659,942.0132695456047,FORWARD,True,175,372
0.1506502628326416,,,STOP,False,,
0.2011699676513672,,,STOP,False,,
0.23045587539672852,,,STOP,False,,
0.2648141384124756,-0.7268044463654958,870.0051723984174,FORWARD,True,247,374
0.2961099147796631,0.5627017362177336,862.0052204018257,FORWARD,True,255,374
0.3278543949127197,1.0478641875957688,859.0052386336185,FORWARD,True,258,374
0.3597407341003418,1.7971670018851367,859.0052386336185,FORWARD,True,258,374
0.3907358646392822,,,STOP,False,,
0.42281031608581543,8.256636124554849,841.0380490798261,FORWARD,True,276,369
0.45478367805480957,,,STOP,False,,
0.48857593536376953,10.200279072010465,812.0745039711566,FORWARD,True,305,366
0.521289587020874,11.248201003303551,799.0901075598421,FORWARD,True,318,365
0.555384635925293,12.489672204500646,788.1243556698397,FORWARD,True,329,363
0.6001608371734619,12.846693504596645,780.1640853051363,FORWARD,True,337,361
0.6298894882202148,,,STOP,False,,
0.6618819236755371,,,STOP,False,,
0.696338415145874,,,STOP,False,,
0.7285583019256592,,,STOP,False,,
0.7601544857025146,,,STOP,False,,
0.7940893173217773,15.869165189304795,691.740558302027,FORWARD,True,426,345
0.8281950950622559,11.923187630307801,688.6537591562251,FORWARD,True,429,347
0.8603181838989258,12.177013202652452,687.6547098653509,FORWARD,True,430,347
0.8921418190002441,12.440789333064638,684.7021250149586,FORWARD,True,433,346
0.919952392578125,13.006765626776987,675.8061852336067,FORWARD,True,442,344
0.9544370174407959,,,STOP,False,,
1.00075364112854,,,STOP,False,,
1.0323588848114014,,,STOP,False,,
1.0711126327514648,22.52772404422119,617.1110110830951,RIGHT,True,502,326
1.0970470905303955,20.765683523895913,611.2160010994477,RIGHT,True,508,325
1.133268117904663,21.79284869135886,609.2232759834443,RIGHT,True,510,325
1.1621835231781006,21.07265306059862,608.2269313340211,RIGHT,True,511,325
1.1979801654815674,21.01239039116141,607.3170506415903,RIGHT,True,512,324
1.2245123386383057,15.092561644776271,604.0728432896152,FORWARD,True,515,327
1.2553391456604004,7.052922731142573,598.9265397358845,FORWARD,True,520,329
1.290046215057373,-1.5723106479084057,592.6356384828708,FORWARD,True,526,333
1.3223199844360352,-11.709429256813573,586.2328888760848,FORWARD,True,532,339
1.3500909805297852,,,STOP,False,,
1.3985569477081299,,,STOP,False,,
1.4319195747375488,,,STOP,False,,
1.463402509689331,-23.409812898043317,528.060602582696,LEFT,True,589,369
1.494809627532959,-22.805680491897128,520.0153843878082,LEFT,True,597,373
1.527378797531128,-22.889498403071645,518.0154437852216,LEFT,True,599,373
1.5582001209259033,-19.336360544525544,516.0242242375837,FORWARD,True,601,372
1.5961973667144775,-12.916986873619571,510.0480369533834,FORWARD,True,607,370
1.6291453838348389,-5.015178129604789,503.08051045533455,FORWARD,True,614,368
1.656749963760376,-0.31609774543399743,493.1227027829889,FORWARD,True,624,366
1.6891465187072754,4.990061097516094,476.1774879181081,FORWARD,True,641,364
1.720527172088623,7.9389840936119604,461.2125323535777,FORWARD,True,656,363
1.75443696975708,9.759915263263313,444.3647150708526,FORWARD,True,673,359
1.7993903160095215,,,STOP,False,,
1.830688714981079,,,STOP,False,,
1.8612163066864014,,,STOP,False,,
1.8936593532562256,,,STOP,False,,
1.9299802780151367,17.258116370560703,361.6019911449604,FORWARD,True,757,343
1.9599854946136475,,,STOP,False,,
1.9919965267181396,15.929706534244827,352.64287884487334,FORWARD,True,766,343
2.023512363433838,18.327174533128545,349.85711369071805,FORWARD,True,769,341
2.058753728866577,18.46568182266896,343.11076928595526,FORWARD,True,776,339
2.089700937271118,17.537006416290584,339.1356660689052,FORWARD,True,780,339
2.117975950241089,,,STOP,False,,
2.150355339050293,,,STOP,False,,
2.200939416885376,,,STOP,False,,
2.2337584495544434,24.636133237715796,285.5906160923359,RIGHT,True,836,326
2.2679593563079834,25.185895740741937,280.0607077045975,RIGHT,True,842,324
2.2974870204925537,26.48742599479779,279.0788419067271,RIGHT,True,843,324
2.327728271484375,27.057420269460536,278.09710534272017,RIGHT,True,844,324
2.3602354526519775,25.82164100720141,278.28941769316344,RIGHT,True,844,323
2.3922884464263916,20.904514896433138,275.1526848860465,RIGHT,True,847,324
2.424866199493408,13.872320957298452,270.65845636151846,FORWARD,True,851,327
2.457332134246826,5.800176842365917,266.9925092582187,FORWARD,True,854,331
2.4890832901000977,,,STOP,False,857,336
2.520789861679077,-12.07612014919879,257.5286391840721,FORWARD,True,862,341
2.5515639781951904,-16.62899261614776,245.7173172570464,FORWARD,True,873,348
2.6002495288848877,-21.847861301745667,233.0407689654323,LEFT,True,885,355
2.629920721054077,-23.429475644039147,219.5130975591206,LEFT,True,898,362
2.662161350250244,,,STOP,False,,
2.6989126205444336,,,STOP,False,,
2.727618455886841,-22.685085477966094,179.0446871593793,LEFT,True,938,381
2.7599949836730957,-16.74310289457663,168.07438829280326,FORWARD,True,949,382
